type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度,地址,市,行政區域
Feature,1539.0,松山機場二,Point,"121.55203, 25.06329",121.55203,25.06329,台灣台北市松山區松山機場,台北市,松山區
Feature,50014.0,松山磚廠,Point,"121.58436554099995, 25.052446452321032",121.58436554099994,25.052446452321032,台灣台北市南港區南港路三段256巷3號,台北市,南港區
Feature,1634.0,松山磚廠,Point,"121.58417586242999, 25.05212598983399",121.58417586243,25.05212598983399,台灣台北市南港區南港路三段155號,台北市,南港區
Feature,4798.0,松仁路,Point,"121.56958, 25.02422",121.56958,25.02422,台灣台北市信義區松仁路264號,台北市,信義區
Feature,2082.0,松仁路,Point,"121.56959973743999, 25.02453055663102",121.56959973744,25.02453055663102,台灣台北市信義區松仁路,台北市,信義區
Feature,6932.0,松友新村,Point,"121.58099373247995, 25.03700964720858",121.58099373247995,25.037009647208578,台灣台北市信義區福德街72號,台北市,信義區
Feature,2101.0,松友新村,Point,"121.58117046626997, 25.036945586116023",121.58117046626995,25.036945586116023,台灣台北市信義區福德街79號,台北市,信義區
Feature,6730.0,松平路口,Point,"121.56839853963567, 25.03110846123836",121.5683985396357,25.03110846123836,台灣台北市信義區松平路口,台北市,信義區
Feature,2102.0,松平路口,Point,"121.56819307386922, 25.030795408272176",121.56819307386921,25.030795408272176,台灣台北市信義區松仁路150號,台北市,信義區
Feature,6714.0,松江長春路口,Point,"121.53293, 25.054384",121.53293000000001,25.054384,台灣台北市中山區松江路156巷152號,台北市,中山區
Feature,1271.0,松江新村,Point,"121.53334982456998, 25.061268402620982",121.53334982456998,25.061268402620982,台灣台北市中山區松江新村,台北市,中山區
Feature,2104.0,松隆路口,Point,"121.56954965029996, 25.044797373443984",121.56954965029995,25.044797373443984,台灣台北市信義區松隆路96號,台北市,信義區
Feature,15112.0,松隆路口,Point,"121.56946612268996, 25.045066849918992",121.56946612268996,25.04506684991899,台灣台北市信義區松隆路73巷2號,台北市,信義區
Feature,1000426.0,松隆路口,Point,"121.56944115458997, 25.045056763626032",121.56944115458995,25.045056763626032,台灣台北市信義區松隆路69號,台北市,信義區
Feature,60141.0,松園,Point,"121.56509096196997, 25.158271215857976",121.56509096196994,25.15827121585798,台灣台北市士林區松園,台北市,士林區
Feature,732.0,松園,Point,"121.56511755091995, 25.158128727929995",121.56511755091995,25.15812872793,台灣台北市士林區松園,台北市,士林區
Feature,2105.0,松壽路口,Point,"121.5674101695365, 25.035730225878993",121.5674101695365,25.035730225878996,台灣台北市信義區松壽路口,台北市,信義區
Feature,2070.0,松壽路口,Point,"121.56664014697328, 25.035941396102977",121.56664014697328,25.035941396102977,台灣台北市信義區松壽路口,台北市,信義區
Feature,2107.0,松德站,Point,"121.57463333147236, 25.032289485364945",121.57463333147236,25.03228948536495,台灣台北市信義區松德站,台北市,信義區
Feature,2106.0,松德站,Point,"121.57446975317882, 25.032611593199373",121.5744697531788,25.032611593199373,台灣台北市信義區松德站,台北市,信義區
Feature,4686.0,林安泰古厝,Point,"121.52923, 25.07095",121.52923,25.07095,台灣台北市中山區濱江街6-1號,台北市,中山區
Feature,7220.0,林泉里,Point,"121.51234, 25.14091",121.51234,25.14091,台灣台北市北投區新民路73-2號,台北市,北投區
Feature,1273.0,林森北路(一),Point,"121.5248367893611, 25.050627570186784",121.52483678936109,25.050627570186787,台灣台北市中山區林森北路100號8號,台北市,中山區
Feature,1272.0,林森北路(一),Point,"121.5250727658178, 25.05049394825383",121.5250727658178,25.050493948253827,台灣台北市中山區林森北路一,台北市,中山區
Feature,1766.0,果菜市場,Point,"121.49743842690997, 25.01980332965899",121.49743842690997,25.01980332965899,台灣台北市萬華區萬大路482號,台北市,萬華區
Feature,4622.0,果菜市場,Point,"121.49795303190996, 25.020303859983954",121.49795303190996,25.020303859983954,台灣台北市萬華區萬大路487號,台北市,萬華區
Feature,1277.0,欣欣大眾百貨,Point,"121.52551, 25.053624668353976",121.52551000000001,25.053624668353976,台灣台北市中山區林森北路169號,台北市,中山區
Feature,1276.0,欣欣大眾百貨,Point,"121.52524734721996, 25.053057205754005",121.52524734721995,25.053057205754005,台灣台北市中山區欣欣大眾公司,台北市,中山區
Feature,2413.0,武功國小(興隆),Point,"121.53985252068773, 25.00412957077044",121.53985252068772,25.00412957077044,台灣台北市文山區武功國小(興隆),台北市,文山區
Feature,3980.0,武功國小(興隆),Point,"121.54014738924131, 25.00425470867423",121.54014738924131,25.00425470867423,台灣台北市文山區武功國小(興隆),台北市,文山區
Feature,2412.0,武功國小(羅斯福),Point,"121.53846549984245, 25.003497763936153",121.53846549984243,25.003497763936156,台灣台北市文山區羅斯福路五段194號,台北市,文山區
Feature,244.0,武功國小(羅斯福),Point,"121.53877469270863, 25.003305331390706",121.53877469270864,25.003305331390706,台灣台北市文山區武功國小(羅斯福),台北市,文山區
Feature,20339.0,武身廟,Point,"121.58679, 25.09139",121.58679,25.09139,台灣台北市內湖區武身廟,台北市,內湖區
Feature,1938.0,河堤國小,Point,"121.52355, 25.02256",121.52355,25.022560000000002,台灣台北市中正區汀州路二段206號,台北市,中正區
Feature,6945.0,河堤國小,Point,"121.52314901808573, 25.023048609113783",121.52314901808573,25.023048609113783,台灣台北市中正區河堤國小,台北市,中正區
Feature,1000930.0,河濱公園大佳段,Point,"121.53953597782997, 25.07265263792796",121.53953597782996,25.072652637927963,台灣台北市中山區濱江街195號,台北市,中山區
Feature,1278.0,河濱公園大佳段,Point,"121.5408, 25.072283",121.5408,25.072283,台灣台北市中山區濱江街230號,台北市,中山區
Feature,194.0,治磐新村,Point,"121.56409008892345, 25.083070590737126",121.56409008892344,25.08307059073713,台灣台北市內湖區治磐新村,台北市,內湖區
Feature,8521.0,治磐新村,Point,"121.56384017784696, 25.08297",121.56384017784694,25.08297,台灣台北市內湖區治磐新村,台北市,內湖區
Feature,4864.0,法治公園,Point,"121.55347801719998, 25.02736764615701",121.55347801719999,25.02736764615701,台灣台北市大安區通化街179巷7號,台北市,大安區
Feature,4754.0,法治公園,Point,"121.55336734721998, 25.027495821846035",121.55336734721998,25.02749582184604,台灣台北市大安區通化街178號,台北市,大安區
Feature,9477.0,法輪禪寺,Point,"121.57809, 25.13913",121.57808999999999,25.139129999999998,台灣台北市士林區法輪禪寺,台北市,士林區
