鄉鎮市區,土地移轉總坪數,都市土地使用分區,總樓層數,主要用途,主要建材,建物移轉總坪數,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,每坪單價,車位類別,車位移轉總坪數,土地,建物,車位,轉移樓層,建物類型,Area,EightCount,ParkCount,FuneralCount,GasCount,CrimeCount,PoliceCount,busCount,subwayCount,govCount,clinicCount,hospitalCount,pharmacyCount,fireareaCount,firewayCount,土地面積,總人口數,男性人數,女性人數,人口密度,每戶人數,每戶成年人數,所得收入總計,可支配所得,消費支出,儲蓄,所得總額
中正區,3.52715013226813,商,15,見其他登記事項,鋼筋混凝土造,50.02745187602944,3,2,2,有,無,1047424.7541100001,升降機械,0.0,1,1,1,3,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.52715013226813,商,15,見其他登記事項,鋼筋混凝土造,50.00930187534882,3,2,2,有,無,1073401.61264,升降機械,0.0,1,1,1,5,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.4908501309068796,商,15,見其他登記事項,鋼筋混凝土造,49.53740185765256,3,2,2,有,無,1080396.6537000001,升降機械,0.0,1,1,1,7,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,39.93907649771537,3,2,2,有,無,1081897.48009,升降機械,0.0,1,1,1,12,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.05705150213942,3,2,2,有,無,967371.86455,升降機械,0.0,1,1,1,2,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.5150501318143794,商,15,見其他登記事項,鋼筋混凝土造,49.89737687115163,3,2,2,有,無,1022099.1352250001,升降機械,0.0,1,1,1,2,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.189625157110943,商,15,見其他登記事項,鋼筋混凝土造,59.159927218497266,3,2,2,有,無,1163117.3117550001,升降機械,0.0,1,1,1,14,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.02982650111849,3,2,2,有,無,1108674.33859,升降機械,0.0,1,1,1,13,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.508251444059425,3,2,2,有,無,1021857.81292,升降機械,0.0,1,1,1,7,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.5344751700428185,住,10,住家用,鋼筋混凝土造,33.88605127072692,2,2,1,有,無,934466.0806600001,其他,7.4324252787159475,1,1,1,3,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.5344751700428185,住,10,住家用,鋼筋混凝土造,33.88605127072692,2,2,1,有,無,922370.213345,其他,7.4324252787159475,1,1,1,4,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.5344751700428185,住,10,住家用,鋼筋混凝土造,33.88605127072692,2,2,1,有,無,953365.253505,其他,7.4324252787159475,1,1,1,5,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.5344751700428185,住,10,住家用,鋼筋混凝土造,33.88605127072692,2,2,1,有,無,966975.17035,其他,7.4324252787159475,1,1,1,6,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.543550170383131,住,10,住家用,鋼筋混凝土造,41.31847654944287,2,2,1,有,無,979071.0376650001,其他,14.864850557431895,1,1,2,7,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
