年別,行政區,家庭戶數[戶],每戶人數[人],每戶成年人數[人],每戶就業人數[人],每戶所得收入者人數[人],一、所得收入總計[元],1.受僱人員報酬,[1]本業薪資,[2]兼業薪資,[3]其他收入,2.產業主所得,3.財產所得收入,4.自用住宅設算租金收入,5.經常移轉收入,[1]從私人,[2]從政府,[3]社會保險受益,[4]從企業,[5]從國外,6.雜項收入,二、非消費支出[元],1.利息支出,2.經常移轉支出,[1]對私人,[2]對政府,[3]社會保險,[4]對國外,三、消費支出[元],1.食品及非酒精飲料,2.菸酒及檳榔,3.衣著鞋襪及服飾用品,4.住宅服務、水電瓦斯及 其他燃料,[1]房地租及水費,[2]電費及燃料,5.家具設備及家務維護,6.醫療保健,7.交通,[1]個人交通工具之購置,[2]個人交通設備使用管理及 保養費,[3]乘交通設備及其他交通服務,[4]汽、機車保險費,8.通訊,9.休閒與文化,[1]套裝旅遊[不含自助旅遊],[2]娛樂消遣及文化服務,[3]書報雜誌文具,[4]教育消遣康樂器材及其附屬品,10.教育,11.餐廳及旅館,12.什項消費,可支配所得[元],消費支出[元],儲蓄[元],所得總額[元]
101年,內湖區,100885,3.33,2.7,1.49,1.77,1612847,1054816,773649,48514,232653,138384,80839,110128,228316,86560,41980,99668,108,-,363,312756,18704,294052,81217,79920,129725,3191,944108,133240,7252,25039,290334,266739,23595,26538,108102,79547,461,55737,18557,4792,30122,66077,34298,13932,7400,10448,38756,90691,48411,1300090,944108,355982,1719473
101年,士林區,103229,3.33,2.79,1.44,1.78,1579716,979536,743015,43111,193410,159970,75393,104064,260535,124031,48465,87177,862,-,218,296231,11567,284663,85697,68097,128631,2239,979896,156023,7942,24920,292011,268890,23120,22247,108668,83465,3699,48721,26823,4222,32242,64400,34079,15219,6079,9022,43327,85381,59269,1283486,979896,303589,1692064
101年,北投區,91868,3.19,2.59,1.43,1.82,1499145,929235,677778,56954,194504,129444,105797,95254,239046,111868,44661,80625,999,894,369,272625,14288,258337,78822,48421,125815,5279,959705,152347,9310,24411,280728,259990,20738,27976,101790,76231,7204,41418,23985,3625,30892,70615,36067,14998,7082,12469,40992,89985,54427,1226520,959705,266815,1608206
102年,總平均,1021435,3.13,2.63,1.33,1.69,1545415,900911,653063,64999,182849,188156,95241,102749,258134,103324,46918,104314,924,2654,224,266220,17493,248726,70150,50824,125165,2587,1001798,149101,7423,28670,301708,277375,24333,28088,121531,73623,4662,44869,20820,3272,31984,72068,40534,14224,6570,10739,35299,87337,64968,1279195,1001798,277397,1659231
102年,松山區,79702,2.99,2.64,1.21,1.72,1628637,956569,675284,84440,196846,128288,127011,122318,294450,133208,50260,110518,464,-,-,249333,15048,234285,69430,51399,112545,911,1126668,145318,9442,35839,366026,342892,23135,28085,140020,83483,5725,51003,23789,2966,32243,86287,50754,17852,6841,10840,23332,100818,75774,1379303,1126668,252636,1787018
102年,信義區,88048,3.1,2.58,1.36,1.7,1583239,947968,687459,71349,189160,197090,62222,94646,281135,134573,45109,98496,916,2041,178,261016,6584,254432,93831,44585,115594,422,1014147,149486,7286,30731,312093,290351,21742,24953,115664,56331,2599,32868,17978,2886,29304,78635,47467,14878,6754,9535,39337,101418,68909,1322223,1014147,308076,1698832
102年,大安區,119148,3,2.57,1.17,1.62,1948587,1076103,766713,95944,213446,241375,226142,146444,258414,97981,40620,105554,4431,9827,108,367896,23891,344005,91725,97804,153171,1306,1217306,163427,5688,38981,388624,362644,25980,36366,158916,72993,416,41745,27886,2945,33580,103448,62412,18005,8119,14912,29540,100471,85272,1580691,1217306,363385,2086590
102年,中山區,96623,2.88,2.42,1.25,1.54,1388558,797305,595046,35100,167159,161187,71593,103265,255142,107216,48522,93701,-,5703,66,233885,18633,215252,61684,35421,108654,9492,912411,135098,5335,22239,287967,265346,22622,25287,110216,56369,1408,33311,19373,2276,28379,69183,41194,12819,5178,9992,33995,86668,51674,1154673,912411,242262,1485055
102年,中正區,64351,3.03,2.68,1.2,1.74,1667387,1019220,670233,164350,184638,163068,102584,125003,257352,95950,47695,113564,143,-,158,248341,6716,241625,67286,54635,112819,6885,1070734,137987,7901,29219,315195,292476,22720,33181,134661,69252,7790,37821,21276,2364,33032,101059,67272,12420,8021,13345,31875,97454,79917,1419046,1070734,348311,1778042
102年,大同區,50251,2.72,2.33,1.26,1.56,1343283,704600,513855,17306,173438,236453,96269,66501,239364,96448,46421,95884,611,-,97,245615,12579,233036,45686,40306,146775,268,864470,135925,5773,21561,270987,247936,23051,25647,100957,53548,607,28589,22650,1702,26044,51524,28338,10725,5164,7297,17069,88237,67199,1097669,864470,233198,1445732
102年,萬華區,76726,3.18,2.68,1.36,1.61,1276863,660326,496107,45314,118905,235268,41437,92004,247304,93499,50905,102158,742,-,524,192454,7378,185076,45874,32981,105646,574,812868,141194,5176,19829,245354,221464,23890,20976,108850,52525,822,38076,11288,2338,26603,45286,21197,10987,5293,7809,38247,63724,45103,1084409,812868,271541,1365128
102年,文山區,101377,3.14,2.54,1.24,1.67,1384796,829312,587670,70169,171473,151744,45652,90239,267741,102606,56466,108584,85,-,108,215253,10525,204728,50875,34720,116244,2889,932292,149744,7386,24628,282739,258318,24421,25283,110497,80120,3735,48030,24844,3511,30253,58977,28621,14532,6425,9399,35312,76055,51298,1169543,932292,237251,1504373
102年,南港區,44622,3.27,2.69,1.32,1.64,1354692,753907,575428,20909,157570,142917,68731,86849,301993,158940,43011,82722,580,16741,294,213740,9178,204562,62206,30434,110956,966,874107,165181,6722,25878,239721,215272,24449,25364,102880,68614,532,43605,21761,2717,30836,48751,24865,9873,5267,8745,25741,89656,44764,1140952,874107,266845,1430618
