type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度
Feature,1001216.0,中央新村,Point,"121.53004266137997, 24.973360108370986",121.53004266137997, 24.973360108370986
Feature,2868.0,中央新城,Point,"121.48953923564399, 24.95170949959187",121.48953923564399, 24.95170949959187
Feature,612.0,中央路,Point,"121.53231, 24.97697",121.53231, 24.97697
Feature,10091.0,中央路,Point,"121.44954445899997, 24.992411950799948",121.44954445899997, 24.992411950799948
Feature,613.0,中央路,Point,"121.53247, 24.97684",121.53247, 24.97684
Feature,10092.0,中央路,Point,"121.44918965920593, 24.992416757123753",121.44918965920593, 24.992416757123753
Feature,3185.0,中央路二段,Point,"121.44296743319997, 24.981107906120986",121.44296743319997, 24.981107906120986
Feature,10087.0,中央路二段,Point,"121.44309483928998, 24.980843488298973",121.44309483928998, 24.980843488298973
Feature,10073.0,中央路三段,Point,"121.43426, 24.965538",121.43426, 24.965538
Feature,3186.0,中央路三段,Point,"121.4334, 24.96564",121.4334, 24.96564
Feature,3497.0,中平國中,Point,"121.44458, 25.05205",121.44458, 25.05205
Feature,8205.0,中平國中,Point,"121.44468, 25.05186",121.44468, 25.05186
Feature,3498.0,中平路,Point,"121.44465489389195, 25.044649979003008",121.44465489389195, 25.044649979003008
Feature,50609.0,中平路,Point,"121.44483573331355, 25.04510493524703",121.44483573331355, 25.04510493524703
Feature,1000920.0,中正中山路口,Point,"121.48255206151998, 25.005170040724007",121.48255206151998, 25.005170040724007
Feature,1000240.0,中正中山路口,Point,"121.48279520502999, 25.004940053565967",121.48279520502999, 25.004940053565967
Feature,3407.0,中正南路,Point,"121.49403151652997, 25.059275784059956",121.49403151652997, 25.059275784059956
Feature,10616.0,中正南路,Point,"121.49416801719997, 25.05962979984694",121.49416801719997, 25.05962979984694
Feature,20394.0,中正國小,Point,"121.5368, 24.97102",121.5368, 24.97102
Feature,2869.0,中正國小,Point,"121.53774453372998, 24.974346984565997",121.53774453372998, 24.974346984565997
Feature,20395.0,中正國小,Point,"121.53715, 24.97099",121.53715, 24.97099
Feature,2870.0,中正國小,Point,"121.53752737664998, 24.974275898435998",121.53752737664998, 24.974275898435998
