Date,Area,value
2016-02-01,萬華區,482932.34559895
2016-02-01,文山區,447134.855469606
2016-02-01,南港區,483464.136840817
2016-02-01,內湖區,497980.106415584
2016-02-01,士林區,516895.665446873
2016-02-01,北投區,444460.698880062
2016-03-01,松山區,647527.284284197
2016-03-01,信義區,606210.063485323
2016-03-01,大安區,674273.686588581
2016-03-01,中山區,629561.974278739
2016-03-01,中正區,626946.374369226
2016-03-01,大同區,512784.4124647
2016-03-01,萬華區,478089.72019648
2016-03-01,文山區,460937.20802091
2016-03-01,南港區,467878.444231291
2016-03-01,內湖區,493430.622338819
2016-03-01,士林區,516478.307432191
2016-03-01,北投區,461065.467336014
2016-04-01,松山區,629500.071658543
2016-04-01,信義區,600228.852128457
2016-04-01,大安區,669434.514128203
2016-04-01,中山區,619996.24155627
2016-04-01,中正區,662358.73913658
2016-04-01,大同區,554411.711588982
2016-04-01,萬華區,498413.991261211
2016-04-01,文山區,441844.26676594
2016-04-01,南港區,487723.049436757
2016-04-01,內湖區,502673.476754289
2016-04-01,士林區,522868.62440245
2016-04-01,北投區,435997.885482142
2016-05-01,松山區,646646.662926721
2016-05-01,信義區,607423.173777353
2016-05-01,大安區,699654.108966356
2016-05-01,中山區,617989.884775733
2016-05-01,中正區,670226.245513647
2016-05-01,大同區,556357.891239162
2016-05-01,萬華區,547811.953279466
2016-05-01,文山區,444465.874817569
2016-05-01,南港區,498556.132011637
2016-05-01,內湖區,493165.76121895
2016-05-01,士林區,525157.938118028
2016-05-01,北投區,458176.955961739
2016-06-01,松山區,646555.803747325
2016-06-01,信義區,619274.195098096
2016-06-01,大安區,638391.687528754
2016-06-01,中山區,621792.507579048
2016-06-01,中正區,695473.251162614
2016-06-01,大同區,525978.297983563
2016-06-01,萬華區,536092.855927486
2016-06-01,文山區,450458.522850537
2016-06-01,南港區,517102.333248575
2016-06-01,內湖區,495988.745574469
2016-06-01,士林區,563365.563572837
2016-06-01,北投區,497270.87527314
2016-07-01,松山區,651359.711186198
2016-07-01,信義區,625437.79997089
2016-07-01,大安區,718345.535987575
2016-07-01,中山區,619825.497956851
2016-07-01,中正區,671046.059860536
2016-07-01,大同區,507336.480184935
2016-07-01,萬華區,525049.520747881
2016-07-01,文山區,452842.994631869
2016-07-01,南港區,536877.753224065
2016-07-01,內湖區,498588.996033731
2016-07-01,士林區,494452.442599156
2016-07-01,北投區,454673.845139579
2016-08-01,松山區,645557.699301207
2016-08-01,信義區,610076.726030305
2016-08-01,大安區,694944.715597323
2016-08-01,中山區,611402.431610999
2016-08-01,中正區,642226.578058495
2016-08-01,大同區,540439.577252812
2016-08-01,萬華區,509836.783590678
2016-08-01,文山區,439053.690140901
2016-08-01,南港區,496342.350841366
2016-08-01,內湖區,486157.385516907
2016-08-01,士林區,514938.541866602
2016-08-01,北投區,471994.413438457
2016-09-01,松山區,625018.306598861
2016-09-01,信義區,593298.245095454
2016-09-01,大安區,668824.887456819
2016-09-01,中山區,582306.560065631
2016-09-01,中正區,674369.691594981
2016-09-01,大同區,507171.506716578
2016-09-01,萬華區,470574.357066986
2016-09-01,文山區,429592.927355934
2016-09-01,南港區,502604.606723584
2016-09-01,內湖區,483906.143250232
2016-09-01,士林區,478797.441745516
2016-09-01,北投區,470203.883943033
2016-10-01,松山區,619535.250312132
2016-10-01,信義區,617507.125654713
2016-10-01,大安區,661705.967455335
2016-10-01,中山區,594563.459789283
2016-10-01,中正區,627096.994757522
2016-10-01,大同區,510388.654869695
2016-10-01,萬華區,526493.413295217
2016-10-01,文山區,423181.992776767
2016-10-01,南港區,472017.561788865
2016-10-01,內湖區,460090.712791331
2016-10-01,士林區,481818.985002043
2016-10-01,北投區,471796.472175057
2016-11-01,松山區,607931.524470745
2016-11-01,信義區,603302.759266163
2016-11-01,大安區,699901.565285316
2016-11-01,中山區,582960.527603168
2016-11-01,中正區,641634.25117349
2016-11-01,大同區,561399.807390115
2016-11-01,萬華區,532872.311846812
2016-11-01,文山區,432531.474851846
2016-11-01,南港區,516666.464269958
2016-11-01,內湖區,489007.647410795
2016-11-01,士林區,505781.444312461
2016-11-01,北投區,399608.964463322
2016-12-01,松山區,598579.746127196
2016-12-01,信義區,573398.133326951
2016-12-01,大安區,683537.799812954
2016-12-01,中山區,596444.302488001
2016-12-01,中正區,656312.132658799
2016-12-01,大同區,505730.55860309
2016-12-01,萬華區,503389.103679871
2016-12-01,文山區,450339.94506898
2016-12-01,南港區,517131.824880124
2016-12-01,內湖區,479590.659675048
2016-12-01,士林區,486019.299779171
2016-12-01,北投區,455730.310735778
2017-01-01,松山區,634178.380767102
2017-01-01,信義區,561052.968629983
2017-01-01,大安區,647015.401703423
2017-01-01,中山區,606467.403441193
2017-01-01,中正區,638809.442530286
2017-01-01,大同區,478453.510898473
2017-01-01,萬華區,474733.512388052
2017-01-01,文山區,439783.831097333
2017-01-01,南港區,520034.965630531
2017-01-01,內湖區,492587.356825609
2017-01-01,士林區,506705.358727185
2017-01-01,北投區,471437.515557834
2017-02-01,松山區,644066.214638986
2017-02-01,信義區,617687.404649937
2017-02-01,大安區,691331.310642989
2017-02-01,中山區,612901.714872927
2017-02-01,中正區,652562.321237994
2017-02-01,大同區,495297.047205714
2017-02-01,萬華區,491166.514199092
2017-02-01,文山區,446042.074299665
2017-02-01,南港區,499155.900746331
2017-02-01,內湖區,488938.642475426
2017-02-01,士林區,518493.139644647
2017-02-01,北投區,460881.575857264
2017-03-01,松山區,627566.567885715
2017-03-01,信義區,600387.476605141
2017-03-01,大安區,680149.937307722
2017-03-01,中山區,610594.572197786
2017-03-01,中正區,623052.306614165
2017-03-01,大同區,498933.634801752
2017-03-01,萬華區,465944.16361086
2017-03-01,文山區,463677.255819618
2017-03-01,南港區,497040.534435508
2017-03-01,內湖區,487567.620645645
2017-03-01,士林區,493929.832798937
2017-03-01,北投區,461184.73131888
2017-04-01,松山區,618626.593868005
2017-04-01,信義區,601649.094530664
2017-04-01,大安區,677726.530761263
2017-04-01,中山區,607270.499230762
2017-04-01,中正區,653763.853622875
2017-04-01,大同區,522158.536354406
2017-04-01,萬華區,462845.585395253
2017-04-01,文山區,457645.92675206
2017-04-01,南港區,497348.086176205
2017-04-01,內湖區,507067.177188319
2017-04-01,士林區,489073.016617994
2017-04-01,北投區,441247.331819756
2017-05-01,松山區,626201.79999401
2017-05-01,信義區,605747.648547334
2017-05-01,大安區,700403.977406973
2017-05-01,中山區,615047.54030523
2017-05-01,中正區,660505.830304238
2017-05-01,大同區,523849.864701724
2017-05-01,萬華區,492868.085308693
2017-05-01,文山區,462272.280927103
2017-05-01,南港區,512454.63870378
2017-05-01,內湖區,498216.299392559
2017-05-01,士林區,497366.424985303
2017-05-01,北投區,457176.099690419
2017-06-01,松山區,624967.692259005
2017-06-01,信義區,618349.035030474
2017-06-01,大安區,661701.367974817
2017-06-01,中山區,613128.050760091
2017-06-01,中正區,670174.51548788
2017-06-01,大同區,515015.386578111
2017-06-01,萬華區,474063.425560059
2017-06-01,文山區,471056.771052519
2017-06-01,南港區,513184.432150773
2017-06-01,內湖區,501053.938692932
2017-06-01,士林區,510876.64070883
2017-06-01,北投區,476938.555129539
2017-07-01,松山區,628559.371401894
2017-07-01,信義區,624760.446215389
2017-07-01,大安區,714745.367995829
2017-07-01,中山區,621557.406621056
2017-07-01,中正區,658454.890488179
2017-07-01,大同區,510680.83845378
2017-07-01,萬華區,483120.815853351
